,v_x,v_y,r,omega_wheels,friction,delta,Iq,ax_imu,ay_imu,r_imu,run_id
0.1,1.2530852225333267,-0.24804390749116786,-1.6392347361060167,1.4227299871795684,0.6,-0.4122647658218653,25.90281096053811,-1.1172846151525788,-4.920517238131569,-1.6176829616893462,0
0.11,1.274911311139159,-0.2472283077834052,-1.6592660714032554,1.4221245742472353,0.6,-0.42878182282445537,27.132348608534237,0.6261230652336351,1.6111951012908268,-1.6827267398991932,0
0.12,1.2916163683007604,-0.252636106342605,-1.6747710610560387,1.4251640946721855,0.6,-0.443001219434692,24.217165097417716,1.9188281002469643,0.8103676541255195,-1.213941267638827,0
0.13,1.3133899460890976,-0.25361227852341456,-1.6897572294400174,1.440749812043786,0.6,-0.4552425793771747,24.349668829809524,1.4079998917057033,-4.8619968042860595,-1.440701992694036,0
0.14,1.3350575650543755,-0.25637269830434745,-1.706375698006392,1.456705531894734,0.6,-0.46578106405053565,24.897406038511253,2.4333381623406147,-1.3324762133503376,-1.2119669809076776,0
0.15,1.3498212182150466,-0.26321006453045775,-1.7174480438961985,1.4695154170683271,0.6,-0.4748535576078275,24.863587351409414,3.754364820527565,-0.7886197094587899,-1.3780884141754162,0
0.16,1.3761209370331526,-0.26060046031896605,-1.7404464093292589,1.494070335867415,0.6,-0.48266399164064083,24.412997697283906,-1.0839918459373035,-5.581263536966441,-1.4789107852801395,0
0.17,1.3949407304659942,-0.2635338783111776,-1.7558858920529081,1.5289529327169473,0.6,-0.48938792915525064,24.91711403480134,0.5048589649373083,-2.3012575259541013,-1.8991861963811432,0
0.18,1.4170039108218686,-0.26469992571313805,-1.7789763552113806,1.5471514352118414,0.6,-0.49517651087944586,24.731696135858,2.3997353737429545,-2.8113135612104134,-1.888586624860592,0
0.19,1.437609159722755,-0.2676697690824268,-1.8066462394245106,1.5740928970537869,0.6,-0.5001598526051656,25.906265157848566,3.34179053745083,-3.171611290296969,-1.8811775239994768,0
0.2,1.451609629162945,-0.2671029088936053,-1.8178721787591945,1.5808703913396425,0.6,-0.5044499699324376,25.773155876369813,0.4761954806595962,-2.869249852812652,-2.171976423219708,0
0.21,1.474891291079507,-0.2714583325033307,-1.8545105710793583,1.5866199870483404,0.6,-0.5081432961570406,24.624050344510767,1.6848108736828296,-3.0864006486751308,-1.8010250903085592,0
0.22,1.4913762008487272,-0.27535289282053454,-1.8780718036446598,1.6119116599037315,0.6,-0.5113228498989926,24.662972380253272,0.415858060393115,-2.5120229586291876,-1.686489439395855,0
0.23,1.5005621275090981,-0.2716468699648328,-1.8857865116884889,1.6293997632165627,0.6,-0.5140601011958359,24.875217876566563,3.3183383554688772,-5.6701968648417855,-1.732757018373913,0
0.24,1.5182881939427275,-0.2745887907167608,-1.9028051041216785,1.6440925307169363,0.6,-0.5164165780067834,24.75681229065496,1.4797391308236347,-2.266735486928155,-1.1400179572054625,0
0.25,1.5311437155471874,-0.27297574489260906,-1.9160741840648141,1.6766634904029685,0.6,-0.5184452492387368,25.204751721128886,2.497740855196871,-1.6899984780307764,-1.8445014537733855,0
0.26,1.5443106729413905,-0.2762616448355729,-1.9280324331024359,1.7013956928045941,0.6,-0.5201917153818517,27.163242039370864,0.38631777064519746,-3.279796152451217,-1.9559211831023016,0
0.27,1.5591209532675658,-0.28338746517231617,-1.9439093536974097,1.7244730594454798,0.6,-0.5216952335177646,31.695417573221913,2.9760817575955287,-6.669556323466012,-1.867040078711528,0
0.28,1.5927146273963757,-0.27599844432809956,-1.9766031205674932,1.7592164699131216,0.6,-0.5229895997406259,36.7262424546724,2.039657361443899,-4.925405622441634,-2.2184595698828433,0
0.29,1.6143583588391783,-0.28444115596531944,-2.002378543311587,1.8098923189515068,0.6,-0.5241039088260079,40.6118948505215,0.5754902635884727,-3.8841208966726777,-2.222632877623817,0
0.3,1.629149852729904,-0.2868679298158925,-2.0168226044380657,1.8397936754130753,0.6,-0.5250632082235309,41.600786132480756,1.9927622310575104,-2.8372736971813564,-2.0283091041824273,0
0.31,1.656865522306733,-0.2894159200710485,-2.045013069273999,1.8649951586630038,0.6,-0.5258890610736605,41.25197654883716,0.9753506635981098,-3.9439447662987486,-2.588678695307183,0
0.32,1.678405624075827,-0.291872592697298,-2.0701083196983543,1.9134188357600728,0.6,-0.5266000309041723,39.896143395348794,1.5350674651567378,-7.065180243578379,-2.3314696359194786,0
0.33,1.7035582902517357,-0.2954172791179489,-2.0979914134307465,1.9598911060902824,0.6,-0.5272120989012965,36.767731525865436,-0.4396276830567979,-4.030018637612015,-2.3998588313273936,0
0.34,1.717234913738608,-0.28672703095096624,-2.108352533548488,1.9646046379557343,0.6,-0.5277390231349645,32.65089716193598,1.8032707402071084,-3.201702727033984,-1.3925151641286186,0
0.35000000000000003,1.7358554755896975,-0.2731277116049196,-2.1154752454303773,1.9826475417400597,0.6,-0.5281926478128292,22.425471284244413,0.5077251339743469,-9.955009834892097,-3.3918242504965677,0
0.36,1.7776229141598487,-0.2761398503692222,-2.1540744917369823,1.9911337822036739,0.6,-0.5285831695144698,18.11139544618127,2.1423890153712972,-6.33060150703869,-0.20166746334641017,0
0.37,1.8122327790154893,-0.27766846085012054,-2.176665108145609,1.9921233987104974,0.6,-0.5289193663902003,14.33298503928182,5.824299465960733,1.2572711206003133,-2.3936932563177393,0
0.38,1.8382083578624817,-0.27028794813611345,-2.187246194519853,1.9800015624597795,0.6,-0.5292087954764101,1.512068537361092,5.089558597424989,-4.299038397616361,-2.6055408485038636,0
